Rank,Player,ATT,YDS,Y/A,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G,ROST
145,Adam Prentice (NO),3,5,1.7,2,0,0,3,3,16,5.3,0,0,5,2.1,0.4,0.10%
146,Raheem Mostert (MIA),2,20,10,11,0,0,0,0,0,0,0,0,1,2,2,75.00%
147,Nick Bawden (NYJ),0,0,0,0,0,0,1,1,20,20,0,0,1,2,2,0.00%
148,Darrynton Evans (CHI),2,7,3.5,5,0,0,2,2,11,5.5,0,0,2,1.8,0.9,0.40%
149,Reggie Bonnafon (WAS),1,4,4,4,0,0,2,2,12,6,0,0,1,1.6,1.6,0.00%
150,Derek Watt (PIT),1,1,1,1,0,0,3,3,15,5,0,0,11,1.6,0.1,0.20%
151,Trey Ragas (FA),1,9,9,9,0,0,2,2,6,3,0,0,1,1.5,1.5,0.00%
152,Anthony McFarland Jr. (PIT),3,3,1,3,0,0,1,1,11,11,0,0,3,1.4,0.5,0.30%
153,Cam Akers (LAR),5,3,0.6,2,0,0,3,3,10,3.3,0,0,2,1.3,0.7,98.30%
154,John Kelly (CLE),2,13,6.5,11,0,0,0,0,0,0,0,0,1,1.3,1.3,0.10%
155,Jacques Patrick (FA),2,12,6,8,0,0,0,0,0,0,0,0,1,1.2,1.2,0.10%
156,Mekhi Sargent (JAC),5,11,2.2,3,0,0,0,1,0,0,0,0,5,1.1,0.2,0.10%
157,Buddy Howell (LAR),5,11,2.2,4,0,0,0,0,0,0,0,0,5,1.1,0.2,0.00%
158,Gary Brightwell (NYG),1,4,4,4,0,0,1,1,6,6,0,0,7,1,0.1,0.40%
159,Ryan Nall (DAL),1,4,4,4,0,0,1,1,4,4,0,0,5,0.8,0.2,0.10%
160,Damarea Crockett (DEN),3,7,2.3,6,0,0,0,0,0,0,0,0,1,0.7,0.7,0.10%
161,Jake Funk (LAR),2,5,2.5,6,0,0,0,0,0,0,0,0,5,0.5,0.1,0.60%
162,Devine Ozigbo (NO),1,-3,-3,0,0,0,1,1,7,7,0,0,2,0.4,0.2,0.00%
163,Nathan Cottrell (JAC),1,3,3,3,0,0,0,0,0,0,0,0,3,0.3,0.1,0.00%
164,Sandro Platzgummer (NYG),0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
165,CJ Verdell (IND),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
166,Jake Bargas (MIN),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
167,Raheem Blackshear (BUF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
