WEEK,DATE,TIME,ROAD TEAM,,,HOME TEAM,STADIUM,NOTE
9,11/6,1:00 PM,Los Angeles Chargers,,,Atlanta Falcons,Mercedes-Benz Stadium,
9,11/6,1:00 PM,Miami Dolphins,,,Chicago Bears,Soldier Field,
9,11/6,1:00 PM,Carolina Panthers,,,Cincinnati Bengals,Paul Brown Stadium,
9,11/6,1:00 PM,Green Bay Packers,,,Detroit Lions,Ford Field,
9,11/6,1:00 PM,Las Vegas Raiders,,,Jacksonville Jaguars,TIAA Bank Field,
9,11/6,1:00 PM,Indianapolis Colts,,,New England Patriots,Gillette Stadium,
9,11/6,1:00 PM,Buffalo Bills,,,New York Jets,MetLife Stadium,
9,11/6,1:00 PM,Minnesota Vikings,,,Washington Commanders,FedExField,
9,11/6,4:05 PM,Seattle Seahawks,,,Arizona Cardinals,State Farm Stadium,
9,11/6,4:25 PM,Los Angeles Rams,,,Tampa Bay Buccaneers,Raymond James Stadium,
9,11/6,8:20 PM,Tennessee Titans,,,Kansas City Chiefs,GEHA Field at Arrowhead Stadium,
9,11/7,8:15 PM,Baltimore Ravens,,,New Orleans Saints,Caesars Superdome,
10,11/10,8:15 PM,Atlanta Falcons,,,Carolina Panthers,Bank of America Stadium,
10,11/13,9:30 AM,Seattle Seahawks,,,Tampa Bay Buccaneers,"Allianz Arena, Munich",NFL International Series
10,11/13,1:00 PM,Minnesota Vikings,,,Buffalo Bills,Highmark Stadium,
10,11/13,1:00 PM,Detroit Lions,,,Chicago Bears,Soldier Field,
10,11/13,1:00 PM,Jacksonville Jaguars,,,Kansas City Chiefs,GEHA Field at Arrowhead Stadium,
10,11/13,1:00 PM,Cleveland Browns,,,Miami Dolphins,Hard Rock Stadium,
10,11/13,1:00 PM,Houston Texans,,,New York Giants,MetLife Stadium,
10,11/13,1:00 PM,Denver Broncos,,,Tennessee Titans,Nissan Stadium,
10,11/13,1:00 PM,New Orleans Saints,,,Pittsburgh Steelers,Heinz Field,
10,11/13,4:05 PM,Indianapolis Colts,,,Las Vegas Raiders,Allegiant Stadium,
10,11/13,4:25 PM,Dallas Cowboys,,,Green Bay Packers,Lambeau Field,
10,11/13,4:25 PM,Arizona Cardinals,,,Los Angeles Rams,SoFi Stadium,
10,11/13,8:20 PM,Los Angeles Chargers,,,San Francisco 49ers,Levi's Stadium,
10,11/14,8:15 PM,Washington Commanders,,,Philadelphia Eagles,Lincoln Financial Field,
11,11/17,8:15 PM,Tennessee Titans,,,Green Bay Packers,Lambeau Field,
11,11/20,1:00 PM,Chicago Bears,,,Atlanta Falcons,Mercedes-Benz Stadium,
11,11/20,1:00 PM,Cleveland Browns,,,Buffalo Bills,Highmark Stadium,
11,11/20,1:00 PM,Philadelphia Eagles,,,Indianapolis Colts,Lucas Oil Stadium,
11,11/20,1:00 PM,Washington Commanders,,,Houston Texans,NRG Stadium,
11,11/20,1:00 PM,Los Angeles Rams,,,New Orleans Saints,Caesars Superdome,
11,11/20,1:00 PM,New York Jets,,,New England Patriots,Gillette Stadium,
11,11/20,1:00 PM,Detroit Lions,,,New York Giants,MetLife Stadium,
11,11/20,1:00 PM,Carolina Panthers,,,Baltimore Ravens,M&T Bank Stadium,
11,11/20,4:05 PM,Las Vegas Raiders,,,Denver Broncos,Empower Field at Mile High,
11,11/20,4:25 PM,Dallas Cowboys,,,Minnesota Vikings,U.S. Bank Stadium,
11,11/20,4:25 PM,Kansas City Chiefs,,,Los Angeles Chargers,SoFi Stadium,
11,11/20,8:20 PM,Cincinnati Bengals,,,Pittsburgh Steelers,Heinz Field,
11,11/21,8:15 PM,San Francisco 49ers,,,Arizona Cardinals,State Farm Stadium,
12,11/24,12:30 PM,Buffalo Bills,,,Detroit Lions,Ford Field,
12,11/24,4:30 PM,New York Giants,,,Dallas Cowboys,AT&T Stadium,
12,11/24,8:20 PM,New England Patriots,,,Minnesota Vikings,U.S. Bank Stadium,
12,11/27,1:00 PM,Denver Broncos,,,Carolina Panthers,Bank of America Stadium,
12,11/27,1:00 PM,Tampa Bay Buccaneers,,,Cleveland Browns,FirstEnergy Stadium,
12,11/27,1:00 PM,Baltimore Ravens,,,Jacksonville Jaguars,TIAA Bank Field,
12,11/27,1:00 PM,Houston Texans,,,Miami Dolphins,Hard Rock Stadium,
12,11/27,1:00 PM,Chicago Bears,,,New York Jets,MetLife Stadium,
12,11/27,1:00 PM,Cincinnati Bengals,,,Tennessee Titans,Nissan Stadium,
12,11/27,1:00 PM,Atlanta Falcons,,,Washington Commanders,FedExField,
12,11/27,4:05 PM,Los Angeles Chargers,,,Arizona Cardinals,State Farm Stadium,
12,11/27,4:05 PM,Las Vegas Raiders,,,Seattle Seahawks,Lumen Field,
12,11/27,4:25 PM,Los Angeles Rams,,,Kansas City Chiefs,GEHA Field at Arrowhead Stadium,
12,11/27,4:25 PM,New Orleans Saints,,,San Francisco 49ers,Levi's Stadium,
12,11/27,8:20 PM,Green Bay Packers,,,Philadelphia Eagles,Lincoln Financial Field,
12,11/28,8:15 PM,Pittsburgh Steelers,,,Indianapolis Colts,Lucas Oil Stadium,
13,12/1,8:15 PM,Buffalo Bills,,,New England Patriots,Gillette Stadium,
13,12/4,1:00 PM,Pittsburgh Steelers,,,Atlanta Falcons,Mercedes-Benz Stadium,
13,12/4,1:00 PM,Green Bay Packers,,,Chicago Bears,Soldier Field,
13,12/4,1:00 PM,Jacksonville Jaguars,,,Detroit Lions,Ford Field,
13,12/4,1:00 PM,Cleveland Browns,,,Houston Texans,NRG Stadium,
13,12/4,1:00 PM,New York Jets,,,Minnesota Vikings,U.S. Bank Stadium,
13,12/4,1:00 PM,Washington Commanders,,,New York Giants,MetLife Stadium,
13,12/4,1:00 PM,Tennessee Titans,,,Philadelphia Eagles,Lincoln Financial Field,
13,12/4,1:00 PM,Denver Broncos,,,Baltimore Ravens,M&T Bank Stadium,
13,12/4,4:05 PM,Seattle Seahawks,,,Los Angeles Rams,SoFi Stadium,
